answer_id,timestamp,prefecture,serials_nagoya1,serials_nagoya2,serials_kobe1,serials_kobe2,serials_saitama1,serials_saitama2,tickets_nagoya1,tickets_nagoya2,tickets_kobe1,tickets_kobe2,tickets_saitama1,tickets_saitama2
0,2017/04/29 8:23:07 午後 GMT+9,東京都,5,5,5,5,5,5,0,0,0,0,2,0
1,2017/04/29 8:23:24 午後 GMT+9,茨城県,1,2,0,0,3,3,0,0,0,0,0,2
2,2017/04/29 8:23:37 午後 GMT+9,神奈川県,6,6,7,7,0,0,0,0,0,0,0,0
3,2017/04/29 8:23:56 午後 GMT+9,神奈川県,10,10,13,13,10,10,0,0,0,0,0,2
4,2017/04/29 8:24:00 午後 GMT+9,埼玉県,0,0,0,0,1,1,0,0,0,0,0,2
5,2017/04/29 8:24:15 午後 GMT+9,東京都,0,0,0,0,1,1,0,0,0,0,2,0
6,2017/04/29 8:24:45 午後 GMT+9,千葉県,1,1,0,0,1,1,0,0,0,0,1,0
7,2017/04/29 8:25:18 午後 GMT+9,静岡県,7,7,0,0,0,0,0,0,0,0,0,0
8,2017/04/29 8:25:18 午後 GMT+9,東京都,2,2,2,2,2,2,0,0,0,0,2,0
9,2017/04/29 8:25:26 午後 GMT+9,大阪府,1,1,3,3,2,2,0,0,0,0,1,0
10,2017/04/29 8:25:28 午後 GMT+9,,0,0,0,0,2,2,0,0,0,0,0,2
11,2017/04/29 8:26:34 午後 GMT+9,愛知県,3,3,1,1,1,1,0,2,0,0,2,0
12,2017/04/29 8:27:02 午後 GMT+9,滋賀県,0,0,1,1,0,0,0,0,0,0,0,0
13,2017/04/29 8:27:04 午後 GMT+9,京都府,3,3,1,1,3,3,2,0,0,0,2,0
14,2017/04/29 8:27:15 午後 GMT+9,埼玉県,5,5,3,3,2,2,0,2,0,0,0,2
15,2017/04/29 8:27:46 午後 GMT+9,,20,20,10,10,10,10,0,2,0,2,0,2
16,2017/04/29 8:28:17 午後 GMT+9,京都府,0,0,3,3,0,0,0,0,0,0,0,0
17,2017/04/29 8:28:21 午後 GMT+9,北海道,1,0,0,1,0,1,0,0,0,0,0,2
18,2017/04/29 8:28:27 午後 GMT+9,東京都,0,0,0,0,1,1,0,0,0,0,0,2
19,2017/04/29 8:28:49 午後 GMT+9,静岡県,2,2,2,2,2,2,0,0,0,0,2,0
20,2017/04/29 8:30:02 午後 GMT+9,福井県,1,1,1,1,0,0,0,0,1,0,0,0
21,2017/04/29 8:30:20 午後 GMT+9,東京都,0,0,0,0,3,3,0,0,0,0,2,0
22,2017/04/29 8:30:21 午後 GMT+9,神奈川県,1,1,1,1,1,1,0,2,0,0,0,2
23,2017/04/29 8:30:35 午後 GMT+9,岐阜県,0,0,0,0,1,0,0,0,0,0,2,0
24,2017/04/29 8:30:38 午後 GMT+9,埼玉県,1,1,1,1,3,3,0,0,0,0,2,2
25,2017/04/29 8:30:53 午後 GMT+9,東京都,1,1,1,1,2,2,0,0,0,0,2,0
26,2017/04/29 8:32:09 午後 GMT+9,群馬県,0,1,0,0,1,1,0,0,0,0,1,0
27,2017/04/29 8:32:17 午後 GMT+9,大阪府,8,0,13,0,0,5,0,0,0,0,0,2
28,2017/04/29 8:32:27 午後 GMT+9,奈良県,0,0,1,1,0,0,0,0,0,1,0,0
29,2017/04/29 8:33:03 午後 GMT+9,東京都,0,0,0,0,8,8,0,0,0,0,2,0
30,2017/04/29 8:33:32 午後 GMT+9,愛知県,3,3,0,0,0,0,2,0,0,0,0,0
31,2017/04/29 8:34:28 午後 GMT+9,栃木県,5,5,5,5,4,4,0,0,0,0,2,0
32,2017/04/29 8:34:34 午後 GMT+9,大阪府,4,4,15,15,9,9,0,0,0,0,2,0
33,2017/04/29 8:35:25 午後 GMT+9,神奈川県,2,1,1,1,2,3,0,0,2,0,0,2
34,2017/04/29 8:36:52 午後 GMT+9,,0,5,0,5,3,0,0,0,0,0,2,0
35,2017/04/29 8:37:20 午後 GMT+9,京都府,0,0,1,1,0,0,0,0,0,0,0,0
36,2017/04/29 8:38:08 午後 GMT+9,千葉県,1,1,1,1,1,1,0,0,0,0,2,0
37,2017/04/29 8:38:10 午後 GMT+9,三重県,8,8,1,1,0,6,0,2,0,0,0,2
38,2017/04/29 8:39:16 午後 GMT+9,東京都,0,0,0,0,8,8,0,0,0,0,0,2
